config,n,MAE_b_output,MAE_all,MAE_clean,MAE_own,auc,defense,defend_side,defend_scope,d_para,out_para
None,5,0.017379999999999996,0.013525000000000054,0.01365333333333334,0.013580000000000059,0.9011800000000001,None,both,victim_only,0.0,-1.0
dp_gauss   s=1.000 both/victim_only,5,0.13797999999999994,0.09361999999999997,0.07883333333333331,0.021539999999999983,0.78442,dp_gauss,both,victim_only,1.0,-1.0
gauss_noise s=0.050 both/both,5,0.025019999999999997,0.07925499999999992,0.10105333333333329,0.07716999999999993,0.89742,gauss_noise,both,both,0.05,0.05
gauss_noise s=0.050 both/victim_only,5,0.021120000000000007,0.050734999999999995,0.06551333333333328,0.01585000000000003,0.8988400000000001,gauss_noise,both,victim_only,0.05,0.05
gauss_noise s=0.050 grad/victim_only,5,0.014359999999999973,0.044199999999999975,0.05710666666666664,0.014390000000000036,0.89778,gauss_noise,grad,victim_only,0.05,-1.0
gauss_noise s=0.050 output/victim_only,5,0.010299999999999976,0.010289999999999999,0.012580000000000013,0.010820000000000007,0.90098,gauss_noise,output,victim_only,0.0,0.05
gauss_noise s=0.100 output/victim_only,5,0.011780000000000013,0.012885000000000058,0.016720000000000047,0.01418999999999999,0.9005599999999999,gauss_noise,output,victim_only,0.0,0.1
gauss_noise s=0.200 output/victim_only,5,0.02086000000000001,0.018574999999999963,0.018960000000000022,0.015560000000000018,0.89916,gauss_noise,output,victim_only,0.0,0.2
gauss_noise s=0.500 output/victim_only,5,0.049940000000000005,0.011935000000000029,0.01632,0.014770000000000038,0.89544,gauss_noise,output,victim_only,0.0,0.5
lap_noise  s=0.100 grad/victim_only,5,0.07135999999999998,0.05155499999999995,0.04599333333333331,0.01002999999999996,0.8712199999999999,lap_noise,grad,victim_only,0.1,-1.0
shuffle 0.2,5,0.06611999999999998,0.01306999999999996,0.013773333333333327,0.01099000000000001,0.89402,shuffle,both,victim_only,0.2,-1.0
shuffle 0.5,5,0.0769,0.01951999999999996,0.00771333333333335,0.009119999999999994,0.87944,shuffle,both,victim_only,0.5,-1.0
withdraw 0.2,5,0.029800000000000004,0.012244999999999995,0.011099999999999954,0.012470000000000047,0.89946,withdraw,both,victim_only,0.2,-1.0
withdraw 0.5,5,0.02368,0.014430000000000021,0.01378666666666668,0.00929000000000001,0.8963599999999999,withdraw,both,victim_only,0.5,-1.0
