script,dataset,property,defense,defend_scope,defend_side,adaptive_noise,curriculum,warmup_epochs,norm_threshold,sigma_low,sigma_high,d_para,out_para,seed,epoch,victim_norm_raw,victim_norm_obs,victim_norm_raw_med,sigma_mean,sigma_frac_high
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,0,0,0.644588,0.644588,0.641526,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,0,1,0.634148,0.634148,0.632636,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,0,2,0.710573,0.710573,0.705057,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,0,3,0.915298,0.915298,0.901880,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,0,4,1.365005,1.365005,1.342425,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,0,5,1.902607,1.902607,1.894713,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,0,6,2.219562,2.219562,2.215947,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,0,7,2.377417,2.377417,2.373559,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,0,8,2.466211,2.466211,2.464072,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,0,9,2.526926,2.526926,2.528234,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,0,10,2.573490,2.573490,2.576804,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,0,11,2.609701,2.609701,2.613405,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,0,12,2.638364,2.638364,2.644504,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,0,13,2.659676,2.659676,2.665447,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,0,14,2.678430,2.678430,2.682251,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,0,15,2.695945,2.695945,2.699816,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,0,16,2.709977,2.709977,2.713498,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,0,17,2.722024,2.722024,2.724570,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,0,18,2.733597,2.733597,2.737162,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,0,19,2.743992,2.743992,2.748144,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,0,1.051726,1.051726,1.050895,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,1.144511,1.144511,1.142889,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,2,1.256058,1.256058,1.250282,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,3,1.434743,1.434743,1.426224,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,4,1.779396,1.779396,1.763592,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,5,2.410966,2.410966,2.403127,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,6,3.055876,3.055876,3.049617,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,7,3.468475,3.468475,3.466816,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,8,3.785456,3.785456,3.777799,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,9,4.015546,4.015546,4.002411,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,10,4.178379,4.178379,4.167086,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,11,4.297850,4.297850,4.286098,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,12,4.378532,4.378532,4.368417,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,13,4.434697,4.434697,4.428591,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,14,4.475839,4.475839,4.468455,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,15,4.506123,4.506123,4.500251,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,16,4.527407,4.527407,4.520900,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,17,4.540204,4.540204,4.535490,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,18,4.548481,4.548481,4.544874,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,19,4.553262,4.553262,4.549633,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,2,0,0.984304,0.984304,0.984488,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,2,1,1.089207,1.089207,1.086207,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,2,2,1.264138,1.264138,1.249036,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,2,3,1.751688,1.751688,1.744413,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,2,4,2.387381,2.387381,2.394827,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,2,5,2.885458,2.885458,2.880727,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,2,6,3.206531,3.206531,3.201477,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,2,7,3.371995,3.371995,3.366203,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,2,8,3.467871,3.467871,3.460099,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,2,9,3.537808,3.537808,3.529140,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,2,10,3.587224,3.587224,3.575802,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,2,11,3.621033,3.621033,3.607967,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,2,12,3.645335,3.645335,3.634621,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,2,13,3.663179,3.663179,3.651261,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,2,14,3.676497,3.676497,3.664941,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,2,15,3.686464,3.686464,3.674207,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,2,16,3.693642,3.693642,3.681103,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,2,17,3.697328,3.697328,3.684843,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,2,18,3.699687,3.699687,3.687840,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,2,19,3.700170,3.700170,3.689380,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,3,0,0.578598,0.578598,0.579423,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,3,1,0.652199,0.652199,0.650789,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,3,2,0.760692,0.760692,0.755408,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,3,3,1.002451,1.002451,0.992923,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,3,4,1.488199,1.488199,1.471358,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,3,5,2.170173,2.170173,2.169661,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,3,6,2.668864,2.668864,2.661221,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,3,7,2.906969,2.906969,2.905499,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,3,8,3.023076,3.023076,3.021632,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,3,9,3.100558,3.100558,3.098518,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,3,10,3.158572,3.158572,3.154431,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,3,11,3.203672,3.203672,3.198693,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,3,12,3.236204,3.236204,3.231271,0.000000,0.0000
defense,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,3,13,3.260653,3.260653,3.254622,0.000000,0.0000
