dataset,batch_size,learning_rate,momentum,weight_decay,gamma,decay_period,gpu,epochs,seed,k,model,use_project_head,norm_type,save_feat,sampling_size,select_size,attack_epoch,interpolate,classifier,property,attack_feat,begin_range,end_range,target_num,defense,d_para,d_para2,out_para,defend_scope,defend_side,adaptive_noise,norm_threshold,sigma_low,sigma_high,sigma_alpha,curriculum,warmup_epochs,val_ratio,aligned,n_seeds,log_norms,out_csv,device,accuracy,auc,precision,recall,gnd_frac,pred_frac,used_time
adult,64,0.01,0.0,3e-05,0.97,1,0,20,0,3,mlp2,1,1,0,2000,0,18,200,XGB,sex,b_grad,0,100,100,None,0.0,1.0,-1.0,victim_only,both,0,0.0,0.005,0.05,0.05,0,10,0.3,1,5,1,res_s1_adult.csv,cuda,0.8438,0.8999,0.7131,0.5858,0.6635,0.6394,8
adult,64,0.01,0.0,3e-05,0.97,1,0,20,0,3,mlp2,1,1,0,2000,0,18,200,XGB,sex,b_output,0,100,100,None,0.0,1.0,-1.0,victim_only,both,0,0.0,0.005,0.05,0.05,0,10,0.3,1,5,1,res_s1_adult.csv,cuda,0.8438,0.8999,0.7131,0.5858,0.6635,0.6520,8
adult,64,0.01,0.0,3e-05,0.97,1,0,20,0,3,mlp2,1,1,0,2000,0,18,200,XGB,sex,a_grad,0,100,100,None,0.0,1.0,-1.0,victim_only,both,0,0.0,0.005,0.05,0.05,0,10,0.3,1,5,1,res_s1_adult.csv,cuda,0.8438,0.8999,0.7131,0.5858,0.6635,0.6293,8
adult,64,0.01,0.0,3e-05,0.97,1,0,20,0,3,mlp2,1,1,0,2000,0,18,200,XGB,sex,a_output,0,100,100,None,0.0,1.0,-1.0,victim_only,both,0,0.0,0.005,0.05,0.05,0,10,0.3,1,5,1,res_s1_adult.csv,cuda,0.8438,0.8999,0.7131,0.5858,0.6635,0.6510,8
adult,64,0.01,0.0,3e-05,0.97,1,0,20,0,3,mlp2,1,1,0,2000,0,18,200,en-XGB,sex,all,0,100,100,None,0.0,1.0,-1.0,victim_only,both,0,0.0,0.005,0.05,0.05,0,10,0.3,1,5,1,res_s1_adult.csv,cuda,0.8438,0.8999,0.7131,0.5858,0.6635,0.6478,32
adult,64,0.01,0.0,3e-05,0.97,1,0,20,1,3,mlp2,1,1,0,2000,0,18,200,XGB,sex,b_grad,0,100,100,None,0.0,1.0,-1.0,victim_only,both,0,0.0,0.005,0.05,0.05,0,10,0.3,1,5,1,res_s1_adult.csv,cuda,0.8439,0.9015,0.7138,0.5855,0.6635,0.6885,8
adult,64,0.01,0.0,3e-05,0.97,1,0,20,1,3,mlp2,1,1,0,2000,0,18,200,XGB,sex,b_output,0,100,100,None,0.0,1.0,-1.0,victim_only,both,0,0.0,0.005,0.05,0.05,0,10,0.3,1,5,1,res_s1_adult.csv,cuda,0.8439,0.9015,0.7138,0.5855,0.6635,0.6971,8
adult,64,0.01,0.0,3e-05,0.97,1,0,20,1,3,mlp2,1,1,0,2000,0,18,200,XGB,sex,a_grad,0,100,100,None,0.0,1.0,-1.0,victim_only,both,0,0.0,0.005,0.05,0.05,0,10,0.3,1,5,1,res_s1_adult.csv,cuda,0.8439,0.9015,0.7138,0.5855,0.6635,0.6875,8
adult,64,0.01,0.0,3e-05,0.97,1,0,20,1,3,mlp2,1,1,0,2000,0,18,200,XGB,sex,a_output,0,100,100,None,0.0,1.0,-1.0,victim_only,both,0,0.0,0.005,0.05,0.05,0,10,0.3,1,5,1,res_s1_adult.csv,cuda,0.8439,0.9015,0.7138,0.5855,0.6635,0.6692,7
adult,64,0.01,0.0,3e-05,0.97,1,0,20,1,3,mlp2,1,1,0,2000,0,18,200,en-XGB,sex,all,0,100,100,None,0.0,1.0,-1.0,victim_only,both,0,0.0,0.005,0.05,0.05,0,10,0.3,1,5,1,res_s1_adult.csv,cuda,0.8439,0.9015,0.7138,0.5855,0.6635,0.6799,32
adult,64,0.01,0.0,3e-05,0.97,1,0,20,2,3,mlp2,1,1,0,2000,0,18,200,XGB,sex,b_grad,0,100,100,None,0.0,1.0,-1.0,victim_only,both,0,0.0,0.005,0.05,0.05,0,10,0.3,1,5,1,res_s1_adult.csv,cuda,0.8446,0.9012,0.7156,0.5867,0.6635,0.6605,8
adult,64,0.01,0.0,3e-05,0.97,1,0,20,2,3,mlp2,1,1,0,2000,0,18,200,XGB,sex,b_output,0,100,100,None,0.0,1.0,-1.0,victim_only,both,0,0.0,0.005,0.05,0.05,0,10,0.3,1,5,1,res_s1_adult.csv,cuda,0.8446,0.9012,0.7156,0.5867,0.6635,0.6529,9
adult,64,0.01,0.0,3e-05,0.97,1,0,20,2,3,mlp2,1,1,0,2000,0,18,200,XGB,sex,a_grad,0,100,100,None,0.0,1.0,-1.0,victim_only,both,0,0.0,0.005,0.05,0.05,0,10,0.3,1,5,1,res_s1_adult.csv,cuda,0.8446,0.9012,0.7156,0.5867,0.6635,0.6817,8
adult,64,0.01,0.0,3e-05,0.97,1,0,20,2,3,mlp2,1,1,0,2000,0,18,200,XGB,sex,a_output,0,100,100,None,0.0,1.0,-1.0,victim_only,both,0,0.0,0.005,0.05,0.05,0,10,0.3,1,5,1,res_s1_adult.csv,cuda,0.8446,0.9012,0.7156,0.5867,0.6635,0.6618,7
adult,64,0.01,0.0,3e-05,0.97,1,0,20,2,3,mlp2,1,1,0,2000,0,18,200,en-XGB,sex,all,0,100,100,None,0.0,1.0,-1.0,victim_only,both,0,0.0,0.005,0.05,0.05,0,10,0.3,1,5,1,res_s1_adult.csv,cuda,0.8446,0.9012,0.7156,0.5867,0.6635,0.6632,32
adult,64,0.01,0.0,3e-05,0.97,1,0,20,3,3,mlp2,1,1,0,2000,0,18,200,XGB,sex,b_grad,0,100,100,None,0.0,1.0,-1.0,victim_only,both,0,0.0,0.005,0.05,0.05,0,10,0.3,1,5,1,res_s1_adult.csv,cuda,0.8441,0.9025,0.7137,0.5867,0.6635,0.6513,8
