script,dataset,property,defense,defend_scope,defend_side,adaptive_noise,curriculum,warmup_epochs,norm_threshold,sigma_low,sigma_high,d_para,out_para,use_MR,use_LR,seed,epoch,victim_norm_raw,victim_norm_obs,victim_norm_raw_med,sigma_mean,sigma_frac_high
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,0,0,0.677070,0.677070,0.671169,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,0,1,0.642188,0.642188,0.640938,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,0,2,0.686331,0.686331,0.684202,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,0,3,0.797053,0.797053,0.792611,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,0,4,1.063938,1.063938,1.054721,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,0,5,1.476856,1.476856,1.464469,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,0,6,1.794207,1.794207,1.771861,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,0,7,1.969189,1.969189,1.932906,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,0,8,2.081387,2.081387,2.036132,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,0,9,2.168736,2.168736,2.119185,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,0,10,2.240018,2.240018,2.186630,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,0,11,2.297198,2.297198,2.244204,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,0,12,2.345551,2.345551,2.293127,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,0,13,2.386595,2.386595,2.334844,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,0,14,2.423353,2.423353,2.371575,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,0,15,2.457447,2.457447,2.405273,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,0,16,2.489139,2.489139,2.436014,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,0,17,2.519326,2.519326,2.466793,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,0,18,2.549209,2.549209,2.499925,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,0,19,2.578579,2.578579,2.532355,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,1,0,1.031907,1.031907,1.030714,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,1,1,1.056014,1.056014,1.056383,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,1,2,1.115923,1.115923,1.112703,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,1,3,1.235794,1.235794,1.230516,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,1,4,1.494619,1.494619,1.495802,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,1,5,1.896059,1.896059,1.905435,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,1,6,2.389433,2.389433,2.417218,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,1,7,2.828365,2.828365,2.868822,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,1,8,3.112616,3.112616,3.151553,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,1,9,3.277199,3.277199,3.310280,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,1,10,3.377513,3.377513,3.399692,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,1,11,3.451301,3.451301,3.471610,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,1,12,3.509885,3.509885,3.528242,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,1,13,3.555563,3.555563,3.570656,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,1,14,3.588373,3.588373,3.599336,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,1,15,3.612079,3.612079,3.618581,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,1,16,3.628973,3.628973,3.633096,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,1,17,3.641120,3.641120,3.643640,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,1,18,3.650763,3.650763,3.649511,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,1,19,3.658047,3.658047,3.653910,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,2,0,0.969719,0.969719,0.968945,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,2,1,1.046242,1.046242,1.043528,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,2,2,1.178760,1.178760,1.170208,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,2,3,1.499712,1.499712,1.505091,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,2,4,1.931495,1.931495,1.972936,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,2,5,2.283959,2.283959,2.340108,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,2,6,2.498203,2.498203,2.536715,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,2,7,2.637957,2.637957,2.668292,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,2,8,2.734796,2.734796,2.761075,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,2,9,2.805860,2.805860,2.826144,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,2,10,2.857080,2.857080,2.876203,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,2,11,2.894815,2.894815,2.911403,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,2,12,2.926539,2.926539,2.940575,0.000000,0.0000
active,adult,sex,None,victim_only,both,0,0,10,0.0,0.005,0.05,0.0,-1.0,1,1,2,13,2.950595,2.950595,2.964629,0.000000,0.0000
